Date,MKS.L,SBRY.L,TSCO.L
12/31/2021,228.3746796,234.5040894,255.3199768
1/4/2022,235.3818512,235.8645477,258.8868408
1/5/2022,246.4354095,237.9051819,261.3088379
1/6/2022,247.6197205,238.1602631,257.4336853
1/7/2022,253.245224,233.9939575,254.5713348
1/10/2022,250.3831329,237.3100128,257.5657959
1/11/2022,253.5412903,237.4800568,257.4336853
1/12/2022,249.6922913,244.8774109,257.3896484
1/13/2022,229.9537659,247.9383392,255.1438293
1/14/2022,220.3805847,245.4725952,251.0044403
1/17/2022,220.5779572,248.7886505,254.9236755
1/18/2022,219.1962738,253.9752808,255.011673
1/19/2022,223.7361145,247.6832581,253.5144806
1/20/2022,220.5779572,244.1121521,253.0301208
1/21/2022,216.4328613,241.2212677,254.3071442
1/24/2022,210.0178528,241.4762878,253.8227844
1/25/2022,216.3341675,245.8126984,256.6850891
1/26/2022,216.0380859,248.0234222,260.5162048
1/27/2022,217.9132538,251.6795807,264.21521
1/28/2022,215.2485657,254.3154144,267.2096863
1/31/2022,214.9524841,247.1731415,261.5730591
2/1/2022,213.0773315,245.0474548,264.21521
2/2/2022,215.3472443,247.4282074,265.976593
2/3/2022,209.6230774,248.6185913,261.6170959
2/4/2022,201.1355133,244.7923431,260.2960205
2/7/2022,194.9178772,239.6057281,256.6410522
2/8/2022,192.4999237,239.5207214,256.8611755
2/9/2022,197.3852081,235.8645477,258.6667175
2/10/2022,198.0760498,239.1805878,261.5730591
2/11/2022,194.0789948,238.5854034,262.5858765
2/14/2022,189.2924194,235.7795105,260.1639099
2/15/2022,189.8352203,239.4356689,263.5106812
2/16/2022,188.3548279,238.3302765,259.5914307
2/17/2022,183.5682373,236.5447693,258.6667175
2/18/2022,182.186554,236.2897034,259.1070557
2/21/2022,178.633606,232.3784637,253.2943268
2/22/2022,175.3273926,229.6575928,253.2943268
2/23/2022,170.9849396,229.5725708,256.1566467
2/24/2022,170.2940826,226.1715088,246.2926025
2/25/2022,172.5146637,230.5078583,252.3695526
2/28/2022,172.5146637,234.4191284,255.187851
3/1/2022,167.7280579,226.5116119,250.0797272
3/2/2022,163.780365,221.06987,248.9347687
3/3/2022,160.6715546,214.6078186,247.833847
3/4/2022,155.243454,211.4618378,242.5055389
3/7/2022,147.9402008,212.9923248,240.2596741
3/8/2022,149.2232056,211.9720001,234.3148499
3/9/2022,156.4277649,217.2436371,242.0211182
3/10/2022,156.3784332,214.3527527,241.4046631
3/11/2022,158.0561981,216.053299,240.2156525
3/14/2022,163.286911,219.0292053,243.9146881
3/15/2022,159.8326721,219.7094269,245.2798157
3/16/2022,164.7672882,221.4950104,244.5312042
3/17/2022,160.5728607,224.2158813,244.3109894
3/18/2022,162.9414825,225.7463379,245.4999542
